source target weight
1 1 129.00000000
1 2 15.00000000
1 4 1.00000000
2 1 15.00000000
2 2 94.00000000
2 3 23.00000000
2 4 1.00000000
3 1 1.00000000
3 2 23.00000000
3 3 89.00000000
3 4 20.00000000
3 5 6.00000000
3 6 1.00000000
3 8 1.00000000
4 2 1.00000000
4 3 26.00000000
4 4 86.00000000
4 5 21.00000000
4 6 4.00000000
4 7 1.00000000
4 9 1.00000000
5 3 2.00000000
5 4 24.00000000
5 5 81.00000000
5 6 23.00000000
5 7 7.00000000
5 8 3.00000000
5 14 1.00000000
6 3 1.00000000
6 4 7.00000000
6 5 25.00000000
6 6 82.00000000
6 7 25.00000000
6 8 2.00000000
6 9 1.00000000
6 12 1.00000000
7 4 1.00000000
7 5 5.00000000
7 6 29.00000000
7 7 71.00000000
7 8 29.00000000
7 9 3.00000000
7 10 2.00000000
8 5 2.00000000
8 6 4.00000000
8 7 33.00000000
8 8 70.00000000
8 9 26.00000000
8 10 5.00000000
8 11 1.00000000
8 14 1.00000000
9 6 1.00000000
9 7 1.00000000
9 8 37.00000000
9 9 72.00000000
9 10 24.00000000
9 11 5.00000000
9 12 1.00000000
10 9 29.00000000
10 10 76.00000000
10 11 22.00000000
10 12 6.00000000
10 13 2.00000000
11 9 8.00000000
11 10 25.00000000
11 11 83.00000000
11 12 21.00000000
11 13 3.00000000
11 14 1.00000000
11 15 2.00000000
12 5 1.00000000
12 9 1.00000000
12 10 3.00000000
12 11 28.00000000
12 12 84.00000000
12 13 20.00000000
12 14 2.00000000
12 15 1.00000000
13 11 2.00000000
13 12 26.00000000
13 13 86.00000000
13 14 24.00000000
13 15 1.00000000
14 7 2.00000000
14 11 1.00000000
14 12 1.00000000
14 13 25.00000000
14 14 87.00000000
14 15 22.00000000
14 16 1.00000000
14 17 2.00000000
14 18 1.00000000
15 13 1.00000000
15 14 26.00000000
15 15 96.00000000
15 16 21.00000000
15 17 3.00000000
15 18 2.00000000
16 13 1.00000000
16 15 23.00000000
16 16 85.00000000
16 17 15.00000000
16 18 1.00000000
16 19 1.00000000
17 11 1.00000000
17 13 1.00000000
17 14 1.00000000
17 15 2.00000000
17 16 18.00000000
17 17 90.00000000
17 18 12.00000000
17 19 1.00000000
17 20 1.00000000
18 15 1.00000000
18 16 1.00000000
18 17 16.00000000
18 18 119.00000000
18 19 10.00000000
19 15 1.00000000
19 18 12.00000000
19 19 122.00000000
19 20 9.00000000
20 17 1.00000000
20 19 10.00000000
20 20 119.00000000
20 21 12.00000000
21 20 12.00000000
21 21 112.00000000
21 22 13.00000000
22 21 13.00000000
22 22 112.00000000
22 23 18.00000000
23 22 16.00000000
23 23 101.00000000
23 24 20.00000000
23 25 1.00000000
24 22 2.00000000
24 23 18.00000000
24 24 100.00000000
24 25 20.00000000
25 23 1.00000000
25 24 20.00000000
25 25 100.00000000
25 26 20.00000000
26 25 20.00000000
26 26 103.00000000
26 27 20.00000000
27 26 20.00000000
27 27 98.00000000
27 28 20.00000000
28 27 20.00000000
28 28 100.00000000
28 29 20.00000000
29 28 20.00000000
29 29 103.00000000
29 30 15.00000000
30 29 15.00000000
30 30 125.00000000
