source target weight
1 1 127.00000000
1 2 13.00000000
2 1 13.00000000
2 2 106.00000000
2 3 21.00000000
3 2 21.00000000
3 3 93.00000000
3 4 20.00000000
3 5 6.00000000
4 3 26.00000000
4 4 88.00000000
4 5 22.00000000
4 6 3.00000000
4 7 1.00000000
5 4 25.00000000
5 5 81.00000000
5 6 24.00000000
5 7 7.00000000
5 8 3.00000000
6 4 7.00000000
6 5 25.00000000
6 6 80.00000000
6 7 26.00000000
6 8 2.00000000
7 5 6.00000000
7 6 29.00000000
7 7 71.00000000
7 8 29.00000000
7 9 4.00000000
7 10 1.00000000
8 6 4.00000000
8 7 34.00000000
8 8 68.00000000
8 9 27.00000000
8 10 6.00000000
8 11 1.00000000
9 7 1.00000000
9 8 37.00000000
9 9 71.00000000
9 10 26.00000000
9 11 4.00000000
9 12 1.00000000
10 8 1.00000000
10 9 31.00000000
10 10 76.00000000
10 11 22.00000000
10 12 7.00000000
10 13 3.00000000
11 9 7.00000000
11 10 28.00000000
11 11 82.00000000
11 12 20.00000000
11 13 3.00000000
12 10 3.00000000
12 11 29.00000000
12 12 85.00000000
12 13 22.00000000
12 14 1.00000000
13 11 2.00000000
13 12 27.00000000
13 13 86.00000000
13 14 25.00000000
14 13 26.00000000
14 14 92.00000000
14 15 21.00000000
14 16 1.00000000
15 14 22.00000000
15 15 98.00000000
15 16 19.00000000
16 15 21.00000000
16 16 103.00000000
16 17 16.00000000
17 16 17.00000000
17 17 111.00000000
17 18 12.00000000
18 17 13.00000000
18 18 117.00000000
18 19 10.00000000
19 18 11.00000000
19 19 121.00000000
19 20 8.00000000
20 19 9.00000000
20 20 122.00000000
20 21 9.00000000
21 20 9.00000000
21 21 119.00000000
21 22 12.00000000
22 21 12.00000000
22 22 112.00000000
22 23 16.00000000
23 22 15.00000000
23 23 106.00000000
23 24 19.00000000
24 22 1.00000000
24 23 17.00000000
24 24 102.00000000
24 25 20.00000000
25 23 1.00000000
25 24 19.00000000
25 25 100.00000000
25 26 20.00000000
26 25 20.00000000
26 26 100.00000000
26 27 20.00000000
27 26 20.00000000
27 27 100.00000000
27 28 20.00000000
28 27 20.00000000
28 28 100.00000000
28 29 20.00000000
29 28 20.00000000
29 29 105.00000000
29 30 15.00000000
30 29 15.00000000
30 30 125.00000000
